,PseudoTime1,PseudoTime2,PseudoTime3
E3079_570,0.71303,NA,NA
E1779_589,0.73684,NA,NA
E4611_424,0.53008,NA,NA
E2407_363,NA,NA,0.45363
E2875_322,NA,NA,0.40226
E747_551,NA,NA,0.68922
E4915_648,0.81078,NA,NA
E1229_202,NA,NA,0.25188
E3897_172,0.21429,NA,NA
E4269_212,NA,0.26441,NA
E2975_210,0.2619,NA,NA
E75_241,0.30075,NA,NA
E2837_217,0.27068,NA,NA
E892_440,0.55013,NA,NA
E2158_535,0.66917,NA,NA
E1076_175,NA,NA,0.21805
E3455_495,0.61905,NA,NA
E411_43,NA,0.05263,NA
E4944_615,NA,NA,0.76942
E4485_65,0.0802,NA,NA
E1184_647,NA,0.80952,NA
E1522_214,NA,NA,0.26692
E1807_775,0.96992,NA,NA
E4285_746,0.93358,NA,NA
E2754_434,0.54261,NA,NA
E1844_590,NA,NA,0.7381
E126_748,0.93609,NA,NA
E2457_63,0.07769,NA,NA
E4114_718,NA,NA,0.8985
E2362_167,NA,NA,0.20802
E3178_269,0.33584,NA,NA
E2193_95,0.11779,NA,NA
E2543_101,NA,0.12531,NA
E2685_688,NA,0.8609,NA
E235_604,NA,0.75564,NA
E2502_329,NA,0.41103,NA
E2683_132,0.16416,NA,NA
E1097_126,NA,0.15664,NA
E3757_155,NA,NA,0.19298
E4226_225,NA,0.2807,NA
E4184_647,0.80952,NA,NA
E3736_731,NA,0.91479,NA
E2993_162,NA,0.20175,NA
E2086_387,NA,NA,0.48371
E121_36,NA,NA,0.04386
E1579_458,NA,0.57268,NA
E2337_673,0.84211,NA,NA
E3276_524,NA,0.65539,NA
E4407_708,0.88596,NA,NA
E2907_346,NA,NA,0.43233
E4947_627,NA,0.78446,NA
E3074_538,NA,NA,0.67293
E895_170,NA,0.21178,NA
E2912_424,NA,NA,0.53008
E2510_247,0.30827,NA,NA
E2666_497,NA,NA,0.62155
E1888_247,NA,NA,0.30827
E3429_13,NA,0.01504,NA
E3085_439,0.54887,NA,NA
E40_259,NA,0.32331,NA
E733_572,0.71554,NA,NA
E4005_136,NA,0.16917,NA
E1805_634,NA,0.79323,NA
E3898_514,NA,NA,0.64286
E4857_148,NA,NA,0.18421
E964_573,NA,0.71679,NA
E1691_131,NA,NA,0.16291
E3914_105,0.13033,NA,NA
E1112_662,0.82832,NA,NA
E6_385,NA,NA,0.4812
E2014_105,NA,NA,0.13033
E1722_372,0.46491,NA,NA
E934_377,NA,0.47118,NA
E4575_379,NA,0.47368,NA
E2101_117,NA,0.14536,NA
E2507_761,0.95238,NA,NA
E2478_471,0.58897,NA,NA
E640_725,0.90727,NA,NA
E2147_483,NA,NA,0.60401
E2960_223,0.2782,NA,NA
E1732_30,NA,NA,0.03634
E1135_26,0.03133,NA,NA
E4763_604,NA,0.75564,NA
E2578_727,0.90977,NA,NA
E1919_159,NA,0.19799,NA
E4079_132,0.16416,NA,NA
E703_243,NA,NA,0.30326
E4320_14,NA,0.01629,NA
E4750_357,0.44612,NA,NA
E3059_437,NA,0.54637,NA
E4605_415,0.5188,NA,NA
E2372_301,NA,0.37594,NA
E3835_172,0.21429,NA,NA
E586_298,NA,NA,0.37218
E2786_266,NA,NA,0.33208
E141_386,0.48246,NA,NA
E2853_42,NA,0.05138,NA
E2390_145,0.18045,NA,NA
E4154_43,0.05263,NA,NA
E3157_244,0.30451,NA,NA
E2628_443,0.55388,NA,NA
E3181_294,0.36717,NA,NA
E3524_101,NA,NA,0.12531
E379_628,NA,NA,0.78571
E1939_28,0.03383,NA,NA
E3811_238,NA,0.29699,NA
E917_13,NA,0.01504,NA
E3041_181,NA,0.22556,NA
E535_52,NA,0.06391,NA
E1599_44,0.05388,NA,NA
E907_78,0.09649,NA,NA
E2755_618,NA,0.77318,NA
E2983_768,0.96115,NA,NA
E3539_490,NA,0.61278,NA
E4872_784,NA,NA,0.9812
E2454_201,0.25063,NA,NA
E3573_426,0.53258,NA,NA
E4317_749,NA,0.93734,NA
E4049_655,0.81955,NA,NA
E4164_83,0.10276,NA,NA
E2026_392,NA,NA,0.48997
E435_787,NA,NA,0.98496
E4162_207,0.25815,NA,NA
E3578_169,NA,0.21053,NA
E3027_668,NA,NA,0.83584
E1214_555,NA,NA,0.69424
E4525_317,NA,0.39599,NA
E4539_623,NA,0.77945,NA
E4615_641,0.80201,NA,NA
E4995_324,NA,NA,0.40476
E56_71,0.08772,NA,NA
E488_729,NA,NA,0.91228
E2064_161,NA,0.2005,NA
E570_254,NA,NA,0.31704
E1382_172,NA,NA,0.21429
E232_1,0.0,NA,NA
E2716_361,NA,0.45113,NA
E4491_620,0.77569,NA,NA
E480_706,NA,NA,0.88346
E533_400,NA,0.5,NA
E1431_300,0.37469,NA,NA
E2682_22,0.02632,NA,NA
E375_132,0.16416,NA,NA
E4061_601,NA,0.75188,NA
E4515_207,0.25815,NA,NA
E4335_507,0.63409,NA,NA
E711_547,0.68421,NA,NA
E2463_397,0.49624,NA,NA
E804_782,NA,NA,0.9787
E3162_574,0.71805,NA,NA
E2210_369,NA,0.46115,NA
E701_711,0.88972,NA,NA
E2556_362,0.45238,NA,NA
E4132_506,0.63283,NA,NA
E2558_139,0.17293,NA,NA
E1491_579,NA,0.72431,NA
E3296_89,NA,0.11028,NA
E4954_301,0.37594,NA,NA
E982_772,NA,NA,0.96617
E621_307,NA,0.38346,NA
E1892_679,0.84962,NA,NA
E4661_474,NA,NA,0.59273
E2455_375,NA,NA,0.46867
E2268_487,0.60902,NA,NA
E3136_685,0.85714,NA,NA
E1511_331,NA,0.41353,NA
E1308_271,NA,NA,0.33835
E3527_14,0.01629,NA,NA
E601_263,0.32832,NA,NA
E2000_320,NA,0.39975,NA
E3001_784,NA,0.9812,NA
E4454_397,0.49624,NA,NA
E2141_109,NA,0.13534,NA
E3887_423,0.52882,NA,NA
E1685_99,NA,0.12281,NA
E1404_707,NA,NA,0.88471
E1083_633,0.79198,NA,NA
E670_135,NA,NA,0.16792
E834_525,NA,NA,0.65664
E425_334,NA,NA,0.41729
E1389_200,0.24937,NA,NA
E3580_471,NA,NA,0.58897
E117_143,NA,0.17794,NA
E1051_203,NA,NA,0.25313
E528_705,NA,NA,0.88221
E3505_68,NA,NA,0.08396
E972_478,NA,0.59774,NA
E3741_312,NA,NA,0.38972
E2030_51,NA,NA,0.06266
E3305_758,0.94862,NA,NA
E4402_230,0.28697,NA,NA
E2380_769,NA,0.96241,NA
E1864_551,0.68922,NA,NA
E2003_259,NA,NA,0.32331
E2469_133,NA,NA,0.16541
E444_587,NA,0.73434,NA
E4513_452,0.56516,NA,NA
E1452_676,NA,NA,0.84586
E1039_620,NA,0.77569,NA
E4828_491,NA,0.61404,NA
E2825_636,0.79574,NA,NA
E1972_668,NA,NA,0.83584
E4511_279,NA,NA,0.34837
E3655_317,0.39599,NA,NA
E2781_156,NA,NA,0.19424
E2648_516,NA,0.64536,NA
E4391_683,0.85464,NA,NA
E4392_123,NA,0.15288,NA
E1977_551,NA,NA,0.68922
E2294_753,NA,0.94236,NA
E3026_493,NA,NA,0.61654
E3674_409,NA,NA,0.51128
E1968_557,0.69674,NA,NA
E3754_100,NA,0.12406,NA
E4727_616,NA,0.77068,NA
E2179_338,NA,0.42231,NA
E784_757,0.94737,NA,NA
E500_761,NA,0.95238,NA
E332_703,NA,NA,0.8797
E4646_305,NA,NA,0.38095
E2174_751,0.93985,NA,NA
E4779_724,NA,NA,0.90602
E122_304,NA,NA,0.3797
E289_487,0.60902,NA,NA
E1557_620,0.77569,NA,NA
E2919_444,NA,0.55514,NA
E3776_144,0.1792,NA,NA
E4507_752,NA,NA,0.9411
E2867_485,0.60652,NA,NA
E4936_376,NA,NA,0.46992
E956_613,0.76692,NA,NA
E734_299,0.37343,NA,NA
E371_346,NA,0.43233,NA
E1344_209,0.26065,NA,NA
E1001_188,0.23434,NA,NA
E4331_304,0.3797,NA,NA
E1331_677,0.84712,NA,NA
E519_603,NA,NA,0.75439
E3384_218,NA,0.27193,NA
E3260_674,0.84336,NA,NA
E3423_785,NA,0.98246,NA
E2634_369,0.46115,NA,NA
E3540_173,0.21554,NA,NA
E2884_773,NA,NA,0.96742
E191_451,0.56391,NA,NA
E2699_527,NA,NA,0.65915
E3737_142,0.17669,NA,NA
E4521_272,NA,NA,0.3396
E3465_344,NA,NA,0.42982
E4110_164,0.20426,NA,NA
E2962_411,0.51378,NA,NA
E2331_676,NA,NA,0.84586
E70_697,NA,0.87218,NA
E203_741,NA,NA,0.92732
E1068_552,0.69048,NA,NA
E944_729,NA,NA,0.91228
E2170_609,0.7619,NA,NA
E4743_746,0.93358,NA,NA
E2532_795,NA,0.99499,NA
E2553_751,0.93985,NA,NA
E1850_465,0.58145,NA,NA
E2004_493,NA,0.61654,NA
E1470_426,0.53258,NA,NA
E1141_655,NA,0.81955,NA
E4904_329,0.41103,NA,NA
E526_247,NA,NA,0.30827
E3575_467,NA,0.58396,NA
E1177_311,NA,NA,0.38847
E1272_689,NA,NA,0.86216
E3266_752,NA,NA,0.9411
E1488_404,NA,0.50501,NA
E1332_733,NA,0.91729,NA
E1855_3,0.00251,NA,NA
E1374_272,NA,0.3396,NA
E44_21,0.02506,NA,NA
E1306_482,NA,0.60276,NA
E4260_744,0.93108,NA,NA
E1327_231,0.28822,NA,NA
E1365_53,0.06516,NA,NA
E2053_369,0.46115,NA,NA
E3991_428,0.53509,NA,NA
E1243_303,0.37845,NA,NA
E2225_633,NA,0.79198,NA
E1631_727,0.90977,NA,NA
E2298_180,0.22431,NA,NA
E714_141,0.17544,NA,NA
E1189_696,0.87093,NA,NA
E354_342,0.42732,NA,NA
E2910_430,0.53759,NA,NA
E742_286,0.35714,NA,NA
E2633_80,NA,NA,0.099
E1259_618,0.77318,NA,NA
E4066_556,NA,0.69549,NA
E3702_603,0.75439,NA,NA
E198_421,NA,0.52632,NA
E4172_579,0.72431,NA,NA
E2137_223,NA,NA,0.2782
E1867_620,NA,0.77569,NA
E4026_136,NA,NA,0.16917
E1144_88,NA,NA,0.10902
E2905_445,0.55639,NA,NA
E1508_660,0.82581,NA,NA
E1787_312,0.38972,NA,NA
E969_656,0.8208,NA,NA
E3087_336,NA,0.4198,NA
E3829_195,0.24311,NA,NA
E2809_270,NA,NA,0.33709
E4418_131,0.16291,NA,NA
E4638_91,NA,0.11278,NA
E2881_742,NA,0.92857,NA
E3985_666,NA,0.83333,NA
E2177_446,NA,0.55764,NA
E967_516,NA,NA,0.64536
E4632_171,0.21303,NA,NA
E704_581,0.72682,NA,NA
E173_185,NA,NA,0.23058
E4353_651,0.81454,NA,NA
E4033_551,NA,0.68922,NA
E2259_550,NA,0.68797,NA
E3908_646,NA,0.80827,NA
E3970_198,NA,NA,0.24687
E4794_57,NA,NA,0.07018
E1073_419,0.52381,NA,NA
E4690_283,NA,0.35338,NA
E806_635,0.79449,NA,NA
E4144_395,NA,NA,0.49373
E4848_164,0.20426,NA,NA
E2742_669,0.83709,NA,NA
E1535_328,NA,NA,0.40977
E1606_744,NA,0.93108,NA
E1089_274,NA,0.34211,NA
E1573_69,NA,0.08521,NA
E438_299,NA,NA,0.37343
E2360_403,0.50376,NA,NA
E3012_714,0.89348,NA,NA
E2127_280,NA,0.34962,NA
E3911_504,NA,NA,0.63033
E1161_524,NA,NA,0.65539
E3362_737,0.92231,NA,NA
E695_596,0.74561,NA,NA
E1564_487,NA,0.60902,NA
E1556_168,0.20927,NA,NA
E1948_335,NA,0.41855,NA
E4612_317,NA,NA,0.39599
E902_726,NA,0.90852,NA
E1976_654,NA,NA,0.8183
E268_450,NA,0.56266,NA
E2876_3,NA,NA,0.00251
E161_586,0.73308,NA,NA
E2834_211,0.26316,NA,NA
E465_320,0.39975,NA,NA
E3916_248,NA,0.30952,NA
E1099_379,NA,NA,0.47368
E672_598,0.74812,NA,NA
E3564_496,0.6203,NA,NA
E3458_129,NA,0.1604,NA
E4786_126,NA,NA,0.15664
E683_785,0.98246,NA,NA
E3621_278,0.34712,NA,NA
E1084_222,0.27694,NA,NA
E3778_262,NA,0.32707,NA
E4733_731,0.91479,NA,NA
E4483_270,0.33709,NA,NA
E1839_279,NA,0.34837,NA
E4000_563,0.70426,NA,NA
E1450_588,0.73559,NA,NA
E4891_779,NA,NA,0.97494
E2701_244,0.30451,NA,NA
E4259_573,NA,NA,0.71679
E1316_421,NA,NA,0.52632
E4178_32,0.03885,NA,NA
E2397_104,NA,0.12907,NA
E1966_74,NA,NA,0.09148
E382_99,NA,0.12281,NA
E1298_80,0.099,NA,NA
E4814_415,0.5188,NA,NA
E3987_478,0.59774,NA,NA
E3424_476,NA,NA,0.59524
E3888_291,NA,NA,0.36341
E1893_36,0.04386,NA,NA
E3236_595,0.74436,NA,NA
E3748_599,NA,NA,0.74937
E667_606,NA,NA,0.75815
E2608_522,NA,NA,0.65288
E318_333,0.41604,NA,NA
E3571_346,NA,0.43233,NA
E4051_254,NA,0.31704,NA
E1528_700,NA,NA,0.87594
E4270_498,NA,NA,0.62281
E2278_453,NA,0.56642,NA
E3828_590,NA,NA,0.7381
E1489_434,NA,NA,0.54261
E2440_195,NA,NA,0.24311
E2104_219,NA,NA,0.27318
E775_61,NA,0.07519,NA
E4337_331,0.41353,NA,NA
E2180_111,NA,NA,0.13784
E1160_482,0.60276,NA,NA
E889_436,0.54511,NA,NA
E1273_607,NA,0.7594,NA
E2934_313,NA,0.39098,NA
E99_391,0.48872,NA,NA
E1899_16,0.0188,NA,NA
E262_690,0.86341,NA,NA
E544_209,0.26065,NA,NA
E1723_217,NA,NA,0.27068
E4732_780,NA,0.97619,NA
E4159_516,0.64536,NA,NA
E3544_613,NA,NA,0.76692
E386_567,NA,0.70927,NA
E3407_179,NA,0.22306,NA
E598_505,NA,NA,0.63158
E2877_186,NA,NA,0.23183
E3216_534,0.66792,NA,NA
E1233_452,NA,NA,0.56516
E14_28,0.03383,NA,NA
E2417_261,0.32581,NA,NA
E3995_211,NA,0.26316,NA
E2964_185,0.23058,NA,NA
E1326_797,0.99749,NA,NA
E4486_101,NA,0.12531,NA
E4096_631,NA,NA,0.78947
E4531_335,0.41855,NA,NA
E2794_373,0.46617,NA,NA
E3935_649,NA,0.81203,NA
E2835_361,NA,NA,0.45113
E1962_735,NA,0.9198,NA
E2230_74,NA,0.09148,NA
E4670_361,NA,0.45113,NA
E1226_792,0.99123,NA,NA
E1060_9,NA,0.01003,NA
E3464_85,0.10526,NA,NA
E494_25,NA,0.03008,NA
E3561_255,0.3183,NA,NA
E1521_549,0.68672,NA,NA
E2139_13,NA,NA,0.01504
E2764_469,0.58647,NA,NA
E2199_786,NA,0.98371,NA
E441_678,0.84837,NA,NA
E994_443,0.55388,NA,NA
E1936_322,NA,0.40226,NA
E4939_550,0.68797,NA,NA
E172_564,NA,NA,0.70551
E4707_64,NA,0.07895,NA
E129_615,0.76942,NA,NA
E1381_566,NA,NA,0.70802
E1806_405,0.50627,NA,NA
E1180_639,NA,0.7995,NA
E3673_672,0.84085,NA,NA
E486_626,0.78321,NA,NA
E3693_670,0.83835,NA,NA
E4153_19,NA,NA,0.02256
E4347_315,0.39348,NA,NA
E3052_3,0.00251,NA,NA
E2216_30,NA,NA,0.03634
E4641_159,NA,NA,0.19799
E4807_370,NA,NA,0.46241
E3683_654,NA,0.8183,NA
E3088_625,NA,0.78195,NA
E2636_587,0.73434,NA,NA
E4767_180,0.22431,NA,NA
E3689_582,NA,0.72807,NA
E1749_372,NA,NA,0.46491
E3258_779,0.97494,NA,NA
E4177_670,NA,NA,0.83835
E362_716,NA,0.89599,NA
E3779_587,0.73434,NA,NA
E4124_177,NA,0.22055,NA
E349_127,NA,NA,0.15789
E2894_260,NA,0.32456,NA
E492_589,NA,0.73684,NA
E133_774,0.96867,NA,NA
E2281_741,0.92732,NA,NA
E4417_778,0.97368,NA,NA
E627_589,NA,0.73684,NA
E3148_188,NA,0.23434,NA
E2120_16,NA,NA,0.0188
E1101_42,0.05138,NA,NA
E4323_703,0.8797,NA,NA
E903_732,0.91604,NA,NA
E2087_378,0.47243,NA,NA
E2018_654,NA,NA,0.8183
E3127_290,NA,NA,0.36216
E4431_312,0.38972,NA,NA
E2589_185,NA,0.23058,NA
E468_385,NA,0.4812,NA
E4089_129,0.1604,NA,NA
E1433_342,NA,NA,0.42732
E4923_40,NA,NA,0.04887
E4460_609,0.7619,NA,NA
E3796_474,NA,0.59273,NA
E3614_527,NA,NA,0.65915
E2149_667,0.83459,NA,NA
E37_476,0.59524,NA,NA
E4764_502,NA,NA,0.62782
E2800_592,0.7406,NA,NA
E812_311,0.38847,NA,NA
E3383_138,NA,0.17168,NA
E2044_171,NA,NA,0.21303
E3190_358,NA,NA,0.44737
E849_555,0.69424,NA,NA
E2937_329,0.41103,NA,NA
E4546_402,NA,NA,0.50251
E4645_630,0.78822,NA,NA
E4994_671,0.8396,NA,NA
E1543_363,0.45363,NA,NA
E4327_541,NA,NA,0.67669
E3199_125,0.15539,NA,NA
E3191_788,NA,NA,0.98622
E273_253,0.31579,NA,NA
E2936_77,NA,0.09524,NA
E4988_249,0.31078,NA,NA
E4467_100,NA,0.12406,NA
E1067_605,NA,NA,0.75689
E1601_12,0.01378,NA,NA
E3699_661,0.82707,NA,NA
E1540_243,NA,NA,0.30326
E1853_563,0.70426,NA,NA
E3447_168,NA,NA,0.20927
E1792_684,0.85589,NA,NA
E1616_792,NA,0.99123,NA
E1128_15,0.01754,NA,NA
E2970_463,0.57895,NA,NA
E1304_352,NA,0.43985,NA
E2955_93,0.11529,NA,NA
E31_454,NA,NA,0.56767
E287_646,NA,0.80827,NA
E1746_167,NA,NA,0.20802
E4035_670,0.83835,NA,NA
E1795_86,NA,NA,0.10652
E1797_369,NA,NA,0.46115
E2399_686,0.8584,NA,NA
E33_773,NA,NA,0.96742
E4263_670,NA,0.83835,NA
E296_790,0.98872,NA,NA
E217_762,NA,NA,0.95363
E4776_599,NA,0.74937,NA
E3327_745,NA,NA,0.93233
E4585_317,0.39599,NA,NA
E1088_463,NA,NA,0.57895
E3932_513,NA,0.6416,NA
E1391_346,NA,NA,0.43233
E3446_655,0.81955,NA,NA
E3244_130,NA,0.16165,NA
E2796_353,NA,0.4411,NA
E4932_243,NA,NA,0.30326
E1430_648,NA,0.81078,NA
E2007_229,0.28571,NA,NA
E1552_695,NA,0.86967,NA
E4436_94,NA,NA,0.11654
E1566_431,NA,NA,0.53885
E780_160,0.19925,NA,NA
E4297_779,NA,NA,0.97494
E3291_490,NA,NA,0.61278
E1718_322,NA,NA,0.40226
E2538_737,NA,NA,0.92231
E1558_571,NA,0.71429,NA
E1654_456,NA,0.57018,NA
E4679_401,0.50125,NA,NA
E3605_592,NA,NA,0.7406
E3358_661,NA,NA,0.82707
E4170_528,NA,NA,0.6604
E4022_329,NA,0.41103,NA
E4672_600,0.75063,NA,NA
E1854_724,0.90602,NA,NA
E418_553,0.69173,NA,NA
E4117_475,NA,NA,0.59398
E1372_553,NA,0.69173,NA
E3360_46,NA,NA,0.05639
E32_462,0.57769,NA,NA
E3479_188,0.23434,NA,NA
E614_713,NA,0.89223,NA
E1889_293,0.36591,NA,NA
E2806_191,0.2381,NA,NA
E399_769,NA,NA,0.96241
E369_468,0.58521,NA,NA
E4791_261,NA,NA,0.32581
E4232_68,NA,0.08396,NA
E3459_680,0.85088,NA,NA
E2760_380,NA,NA,0.47494
E566_50,0.0614,NA,NA
E991_756,0.94612,NA,NA
E1663_313,0.39098,NA,NA
E4240_718,NA,0.8985,NA
E2166_163,NA,0.20301,NA
E2043_578,NA,NA,0.72306
E4771_416,NA,NA,0.52005
E1727_587,0.73434,NA,NA
E3555_277,NA,NA,0.34586
E589_269,0.33584,NA,NA
E464_272,NA,0.3396,NA
E557_144,0.1792,NA,NA
E4731_385,NA,NA,0.4812
E293_296,0.36967,NA,NA
E919_649,0.81203,NA,NA
E2246_571,0.71429,NA,NA
E1395_1,0.0,NA,NA
E2235_614,NA,0.76817,NA
E2564_790,0.98872,NA,NA
E833_33,NA,0.0401,NA
E2404_578,0.72306,NA,NA
E4052_523,0.65414,NA,NA
E633_501,NA,0.62657,NA
E835_651,NA,0.81454,NA
E1004_710,NA,NA,0.88847
E3019_537,NA,NA,0.67168
E2437_496,0.6203,NA,NA
E1082_551,NA,0.68922,NA
E555_630,0.78822,NA,NA
E1174_26,NA,NA,0.03133
E3168_667,NA,NA,0.83459
E3053_89,NA,0.11028,NA
E1359_461,NA,0.57644,NA
E125_4,NA,0.00376,NA
E3211_313,0.39098,NA,NA
E3128_344,NA,NA,0.42982
E2275_356,NA,NA,0.44486
E3506_518,NA,0.64787,NA
E3215_471,0.58897,NA,NA
E4107_240,0.2995,NA,NA
E1777_159,NA,NA,0.19799
E3802_236,NA,0.29449,NA
E4279_749,NA,0.93734,NA
E4990_696,NA,0.87093,NA
E781_731,NA,0.91479,NA
E4479_508,NA,NA,0.63534
E3320_181,NA,0.22556,NA
E2423_166,NA,NA,0.20677
E3363_694,0.86842,NA,NA
E2218_654,NA,NA,0.8183
E1687_3,0.00251,NA,NA
E4514_695,NA,0.86967,NA
E3718_589,0.73684,NA,NA
E3025_5,NA,NA,0.00501
E3182_389,NA,NA,0.48622
E78_383,NA,0.4787,NA
E852_329,NA,NA,0.41103
E503_342,0.42732,NA,NA
E2691_41,NA,0.05013,NA
E2496_216,0.26942,NA,NA
E4105_181,0.22556,NA,NA
E4976_501,NA,NA,0.62657
E2126_727,NA,NA,0.90977
E3043_494,0.61779,NA,NA
E684_753,0.94236,NA,NA
E565_289,0.3609,NA,NA
E3902_129,0.1604,NA,NA
E920_728,NA,0.91103,NA
E1048_707,NA,NA,0.88471
E4532_613,NA,0.76692,NA
E3650_165,0.20551,NA,NA
E3003_506,0.63283,NA,NA
E1930_238,0.29699,NA,NA
E3965_322,0.40226,NA,NA
E340_99,NA,0.12281,NA
E3958_331,0.41353,NA,NA
E294_327,NA,NA,0.40852
E2706_744,0.93108,NA,NA
E545_492,NA,0.61529,NA
E3175_371,0.46366,NA,NA
E2401_628,NA,0.78571,NA
E832_349,NA,0.43609,NA
E3083_435,0.54386,NA,NA
E3495_721,NA,NA,0.90226
E2509_146,NA,0.1817,NA
E3556_181,0.22556,NA,NA
E1343_338,NA,0.42231,NA
E710_128,0.15915,NA,NA
E1643_188,NA,0.23434,NA
E1794_103,0.12782,NA,NA
E4729_700,NA,0.87594,NA
E4656_443,0.55388,NA,NA
E3603_206,0.25689,NA,NA
E757_149,NA,0.18546,NA
E3008_359,0.44862,NA,NA
E2350_597,NA,0.74687,NA
E3850_266,NA,0.33208,NA
E3297_703,NA,0.8797,NA
E2530_300,0.37469,NA,NA
E865_461,0.57644,NA,NA
E4138_53,NA,NA,0.06516
E1119_116,0.14411,NA,NA
E2241_273,0.34085,NA,NA
E1625_583,0.72932,NA,NA
E4829_396,0.49499,NA,NA
E4724_37,0.04511,NA,NA
E4324_30,0.03634,NA,NA
E4099_739,0.92481,NA,NA
E4395_724,NA,NA,0.90602
E4291_408,NA,0.51003,NA
E2215_622,0.7782,NA,NA
E3969_510,0.63784,NA,NA
E1710_488,NA,0.61028,NA
E997_223,NA,0.2782,NA
E4140_767,NA,NA,0.9599
E2205_320,0.39975,NA,NA
E1295_318,NA,0.39724,NA
E4582_206,NA,0.25689,NA
E3901_5,NA,NA,0.00501
E1697_477,NA,0.59649,NA
E487_237,0.29574,NA,NA
E901_243,NA,NA,0.30326
E2393_608,0.76065,NA,NA
E4744_163,0.20301,NA,NA
E3950_39,NA,NA,0.04762
E2398_361,NA,0.45113,NA
E1611_424,NA,0.53008,NA
E1593_122,0.15163,NA,NA
E3998_514,NA,NA,0.64286
E2253_26,0.03133,NA,NA
E4219_385,NA,NA,0.4812
E4626_635,NA,0.79449,NA
E3420_371,NA,NA,0.46366
E2270_157,NA,0.19549,NA
E2865_751,NA,NA,0.93985
E3794_603,0.75439,NA,NA
E2717_435,0.54386,NA,NA
E3501_310,NA,NA,0.38722
E2823_750,0.9386,NA,NA
E4606_9,0.01003,NA,NA
E685_639,0.7995,NA,NA
E659_185,0.23058,NA,NA
E2316_83,0.10276,NA,NA
E4003_209,NA,NA,0.26065
E1574_174,NA,NA,0.21679
E193_146,0.1817,NA,NA
E2145_378,0.47243,NA,NA
E1285_736,NA,0.92105,NA
E21_579,0.72431,NA,NA
E2471_493,0.61654,NA,NA
E2918_6,NA,0.00627,NA
E2048_625,0.78195,NA,NA
E761_19,0.02256,NA,NA
E501_95,NA,NA,0.11779
E3295_45,0.05514,NA,NA
E2077_632,0.79073,NA,NA
E4567_562,0.70301,NA,NA
E4542_797,0.99749,NA,NA
E4142_223,NA,NA,0.2782
E1148_714,0.89348,NA,NA
E138_668,NA,NA,0.83584
E146_650,NA,NA,0.81328
E1410_229,NA,NA,0.28571
E2917_264,0.32957,NA,NA
E4565_565,NA,NA,0.70677
E1439_94,0.11654,NA,NA
E1513_556,0.69549,NA,NA
E2861_717,NA,0.89724,NA
E4356_621,NA,NA,0.77694
E2831_46,NA,NA,0.05639
E3938_222,0.27694,NA,NA
E502_31,0.03759,NA,NA
E1835_1,NA,NA,0.0
E1061_436,NA,0.54511,NA
E1505_101,NA,NA,0.12531
E2779_472,NA,0.59023,NA
E4816_60,NA,NA,0.07393
E4039_464,NA,NA,0.5802
E3399_36,NA,0.04386,NA
E4643_294,0.36717,NA,NA
E3633_480,0.60025,NA,NA
E608_693,NA,0.86717,NA
E459_362,NA,NA,0.45238
E3254_421,NA,0.52632,NA
E1498_411,0.51378,NA,NA
E3880_508,NA,NA,0.63534
E2537_574,0.71805,NA,NA
E4730_407,NA,NA,0.50877
E1884_251,NA,0.31328,NA
E3058_83,0.10276,NA,NA
E1165_624,NA,NA,0.7807
E3638_140,NA,NA,0.17419
E2136_622,NA,NA,0.7782
E2684_27,NA,0.03258,NA
E1596_500,NA,0.62531,NA
E2819_589,NA,0.73684,NA
E4412_560,NA,NA,0.7005
E1270_721,NA,0.90226,NA
E4047_577,NA,0.7218,NA
E165_228,NA,NA,0.28446
E1242_222,0.27694,NA,NA
E4910_103,NA,0.12782,NA
E536_216,NA,0.26942,NA
E3435_434,NA,0.54261,NA
E4261_747,NA,0.93484,NA
E1115_618,0.77318,NA,NA
E62_738,NA,NA,0.92356
E4694_297,NA,NA,0.37093
E4348_639,NA,0.7995,NA
E1454_340,NA,0.42481,NA
E3855_406,NA,NA,0.50752
E1664_536,NA,NA,0.67043
E4770_38,0.04637,NA,NA
E2052_390,NA,NA,0.48747
E3410_649,NA,NA,0.81203
E3344_9,0.01003,NA,NA
E1412_287,0.3584,NA,NA
E3591_216,NA,NA,0.26942
E1496_303,NA,0.37845,NA
E2447_626,0.78321,NA,NA
E515_515,NA,0.64411,NA
E91_756,0.94612,NA,NA
E789_304,NA,0.3797,NA
E3525_304,0.3797,NA,NA
E3460_634,NA,NA,0.79323
E3466_277,0.34586,NA,NA
E547_244,0.30451,NA,NA
E838_707,NA,0.88471,NA
E926_317,NA,0.39599,NA
E1235_264,NA,0.32957,NA
E3382_799,1.0,NA,NA
E2387_31,0.03759,NA,NA
E3641_597,NA,0.74687,NA
E3161_234,NA,NA,0.29198
E4894_19,NA,0.02256,NA
E888_328,NA,NA,0.40977
E1629_2,NA,NA,0.00125
E1721_232,NA,NA,0.28947
E1559_442,NA,0.55263,NA
E2712_151,NA,NA,0.18797
E3503_770,0.96366,NA,NA
E2788_600,0.75063,NA,NA
E4069_180,NA,0.22431,NA
E3035_82,NA,0.1015,NA
E4592_205,NA,NA,0.25564
E19_441,NA,NA,0.55138
E4774_330,NA,NA,0.41228
E1230_719,NA,NA,0.89975
E286_558,0.69799,NA,NA
E2321_618,NA,NA,0.77318
E1077_785,NA,NA,0.98246
E1310_131,NA,0.16291,NA
